pm25,pm10,so2,no2,co,纬度,经度, 
0.27,0.42,0.04,0.13,0.12,30.25,87.53, 
0.27,0.39,0.03,0.13,0.12,30.27,87.68, 
0.26,0.37,0.03,0.13,0.12,30.29,87.84, 
0.25,0.34,0.03,0.13,0.12,30.31,88, 
0.24,0.33,0.03,0.13,0.12,30.33,88.15, 
0.24,0.31,0.03,0.13,0.12,30.35,88.31, 
0.24,0.31,0.03,0.13,0.12,30.38,88.46, 
0.24,0.31,0.03,0.13,0.12,30.4,88.62, 
0.24,0.32,0.03,0.13,0.12,30.42,88.77, 
0.24,0.32,0.03,0.14,0.12,30.44,88.93, 
0.25,0.32,0.03,0.14,0.12,30.46,89.09, 
0.25,0.32,0.03,0.14,0.12,30.48,89.24, 
0.25,0.31,0.03,0.13,0.12,30.5,89.4, 
0.25,0.3,0.03,0.13,0.12,30.52,89.55, 
0.24,0.33,0.03,0.13,0.12,30.54,89.71, 
0.25,0.34,0.03,0.13,0.12,30.56,89.87, 
0.24,0.38,0.03,0.13,0.12,30.58,90.02, 
0.24,0.37,0.03,0.14,0.12,30.59,90.18, 
0.23,1.04,0.03,0.12,0.12,30.61,90.34, 
0.22,1.65,0.03,0.13,0.12,30.63,90.49, 
0.27,0.78,0.03,0.2,0.12,30.65,90.65, 
0.29,0.39,0.03,0.29,0.12,30.67,90.81, 
0.29,0.35,0.03,0.31,0.12,30.69,90.96, 
0.29,0.35,0.03,0.33,0.12,30.7,91.12, 
0.29,0.35,0.03,0.31,0.12,30.72,91.28, 
0.3,0.36,0.03,0.31,0.12,30.74,91.43, 
0.3,0.36,0.03,0.39,0.12,30.76,91.59, 
0.29,0.36,0.03,0.32,0.12,30.77,91.75, 
0.3,0.36,0.03,0.3,0.12,30.79,91.9, 
0.29,0.36,0.03,0.26,0.12,30.81,92.06, 
0.29,0.36,0.03,0.22,0.12,30.82,92.22, 
0.3,0.36,0.03,0.21,0.12,30.84,92.38, 
0.32,0.38,0.03,0.31,0.12,30.86,92.53, 
0.33,0.38,0.03,0.35,0.12,30.87,92.69, 
0.33,0.39,0.03,0.33,0.12,30.89,92.85, 
0.33,0.39,0.03,0.31,0.12,30.9,93.01, 
0.34,0.39,0.03,0.3,0.12,30.92,93.16, 
0.35,0.4,0.03,0.32,0.12,30.93,93.32, 
0.36,0.42,0.03,0.31,0.12,30.95,93.48, 
0.42,0.47,0.03,0.27,0.12,30.96,93.64, 
0.46,0.51,0.03,0.25,0.12,30.98,93.79, 
0.57,0.61,0.04,0.25,0.12,30.99,93.95, 
0.79,0.84,0.04,0.27,0.12,31.01,94.11, 
1.1,1.16,0.05,0.29,0.12,31.02,94.27, 
1.36,1.42,0.06,0.3,0.12,31.03,94.43, 
1.55,1.62,0.06,0.28,0.12,31.05,94.58, 
1.52,1.59,0.06,0.29,0.12,31.06,94.74, 
1.78,1.86,0.07,0.27,0.12,31.07,94.9, 
1.91,1.99,0.07,0.27,0.12,31.08,95.06, 
1.96,2.04,0.07,0.28,0.12,31.1,95.22, 
2.02,2.11,0.07,0.28,0.12,31.11,95.37, 
2.06,2.15,0.07,0.28,0.11,31.12,95.53, 
2.13,2.22,0.07,0.3,0.11,31.13,95.69, 
2.19,2.29,0.08,0.34,0.11,31.15,95.85, 
2.2,2.3,0.08,0.38,0.11,31.16,96.01, 
2.3,2.44,0.08,0.45,0.12,31.17,96.17, 
2.43,2.71,0.09,0.57,0.12,31.18,96.32, 
2.79,3.8,0.1,1.24,0.14,31.19,96.48, 
4,7.36,0.11,4.17,0.22,31.2,96.64, 
5.85,12.9,0.11,8.61,0.32,31.21,96.8, 
9.3,23.38,0.12,15.1,0.5,31.22,96.96, 
17.39,45.45,0.13,25.31,0.86,31.23,97.12, 
11.49,29.37,0.13,23.06,0.65,31.24,97.28, 
8.97,21.52,0.12,17.64,0.51,31.25,97.43, 
6.08,12.95,0.11,8.76,0.35,31.26,97.59, 
3.81,6.51,0.1,3.29,0.22,31.27,97.75, 
2.72,3.4,0.1,0.95,0.14,31.28,97.91, 
2.55,2.85,0.09,0.7,0.12,31.29,98.07, 
2.47,2.63,0.09,0.54,0.11,31.3,98.23, 
2.38,2.5,0.09,0.45,0.11,31.31,98.39, 
2.24,2.36,0.08,0.55,0.11,31.32,98.55, 
2.03,2.14,0.11,0.94,0.12,31.32,98.71, 
2.05,2.17,0.15,1.34,0.12,31.33,98.86, 
2.07,2.19,0.16,1.37,0.12,31.34,99.02, 
2.14,2.26,0.16,1.14,0.12,31.35,99.18, 
2.16,2.29,0.16,1,0.12,31.35,99.34, 
2.21,2.34,0.17,0.94,0.12,31.36,99.5, 
2.28,2.42,0.18,0.92,0.12,31.37,99.66, 
2.38,2.52,0.19,0.96,0.12,31.37,99.82, 
2.38,2.51,0.17,0.87,0.11,31.38,99.98, 
2.29,2.43,0.17,0.91,0.11,31.39,100.14, 
2.21,2.35,0.16,1,0.12,31.39,100.3, 
2.23,2.42,0.21,1.47,0.12,31.4,100.46, 
2.48,2.86,0.36,2.67,0.14,31.41,100.62, 
2.77,3.28,0.33,3.09,0.16,31.41,100.77, 
4.18,4.91,0.55,3.65,0.19,31.42,100.93, 
4.85,5.71,0.69,3.87,0.19,31.42,101.09, 
5.61,6.72,0.82,3.76,0.19,31.43,101.25, 
6.42,7.84,0.97,3.48,0.19,31.43,101.41, 
7.48,9.18,1.21,3.2,0.19,31.44,101.57, 
7.31,8.84,1.51,2.69,0.17,31.44,101.73, 
7.57,9.1,1.66,2.93,0.19,31.44,101.89, 
5.79,7.05,1.36,2.7,0.17,31.45,102.05, 
7.33,9.06,1.5,2.59,0.17,31.45,102.21, 
8.89,11.04,1.31,2.31,0.17,31.45,102.37, 
9.98,12.56,0.96,2,0.17,31.46,102.53, 
9.31,11.86,0.92,1.94,0.16,31.46,102.69, 
9.31,12.01,0.85,1.91,0.16,31.46,102.85, 
14.53,19.35,1.9,2.97,0.21,31.47,103.01, 
21.03,28.2,2.97,4.23,0.26,31.47,103.17, 
28.88,39.12,4.25,5.91,0.32,31.47,103.32, 
27.8,37.54,4.45,5.91,0.32,31.47,103.48, 
32.76,45.18,5.2,8.65,0.37,31.48,103.64, 
37.38,51.55,5.61,10.65,0.42,31.48,103.8, 
50.97,70.55,7.83,22.23,0.59,31.48,103.96, 
61.38,80.99,9.78,28.17,0.68,31.48,104.12, 
68.87,91.99,8.64,24.23,0.75,31.48,104.28, 
71.84,95.02,8.24,26.77,0.81,31.48,104.44, 
73.42,97.26,8.49,30.84,0.88,31.48,104.6, 
68.7,92.42,8.74,26.57,0.88,31.48,104.76, 
64.29,88.32,9,22.53,0.88,31.48,104.92, 
58.85,82.24,10.33,18.16,0.86,31.48,105.08, 
56.43,80.81,11.3,18.54,0.87,31.48,105.24, 
55.67,82.39,12.02,20.11,0.9,31.48,105.4, 
56.01,86.41,12.62,22.66,0.97,31.48,105.56, 
57.75,92.65,12.4,25.89,1.05,31.48,105.72, 
58.79,96.59,12.15,26.96,1.09,31.48,105.88, 
57.07,93.97,11.11,25.41,1.08,31.48,106.04, 
55.59,91.06,10.54,24.59,1.08,31.48,106.2, 
55.83,88.71,10.45,23.65,1.07,31.48,106.36, 
58.01,88.24,9.89,24.18,1.05,31.47,106.52, 
59.28,85.66,9.39,24.34,0.98,31.47,106.68, 
58.38,82.56,9.04,25.07,0.96,31.47,106.83, 
56.56,78.85,8.96,26.4,0.98,31.47,106.99, 
54.87,75.51,9.6,27.22,0.98,31.46,107.15, 
54.54,73.96,10.71,26.91,0.96,31.46,107.31, 
54.88,72.37,12.4,25.16,0.97,31.46,107.47, 
56.65,72.79,14.77,22.81,0.94,31.45,107.63, 
61.58,78.89,16.24,20.63,0.85,31.45,107.79, 
65.65,85.98,16.13,19.82,0.84,31.45,107.95, 
68.6,91.01,15.99,19.45,0.83,31.44,108.11, 
68.71,92.65,14.95,20.46,0.85,31.44,108.27, 
69.02,92.87,15.29,16.56,0.84,31.44,108.43, 
69.49,91.82,17.46,11.33,0.81,31.43,108.59, 
70.14,90.86,20.35,10.52,0.77,31.43,108.75, 
69.59,90.19,22.7,10.5,0.76,31.42,108.91, 
68.26,90.01,24.96,10.48,0.76,31.42,109.07, 
69.41,93.91,28.53,11.34,0.79,31.41,109.23, 
70.11,98.72,29.46,12.46,0.84,31.41,109.38, 
73.21,102.43,28.8,12.98,0.84,31.4,109.54, 
78.41,106.24,25.58,12.63,0.81,31.39,109.7, 
87.22,113.31,22.03,12.14,0.78,31.39,109.86, 
89.69,115.59,20.3,11.2,0.76,31.38,110.02, 
88.35,113.13,19.76,10.26,0.73,31.37,110.18, 
103.05,130.09,18.58,12.77,0.8,31.37,110.34, 
105.27,135.34,18.51,15.22,0.85,31.36,110.5, 
102.49,135.04,17.35,17.28,0.88,31.35,110.66, 
96.81,130.43,15.86,17.25,0.87,31.35,110.82, 
100,134.34,14.94,18.14,0.89,31.34,110.98, 
102.76,137.02,14.86,18.77,0.9,31.33,111.14, 
104.91,139.31,14.61,19.31,0.91,31.32,111.29, 
110.31,145.81,14.38,21.65,0.96,31.32,111.45, 
127.82,167.72,14.3,27.3,1.09,31.31,111.61, 
147.35,191.63,14.72,32.9,1.23,31.3,111.77, 
171.73,220.67,14.56,39.09,1.41,31.29,111.93, 
198.58,253.05,11.87,44.4,1.61,31.28,112.09, 
203.97,262.49,13.07,42.82,1.65,31.27,112.25, 
198.68,263.69,13.24,40.23,1.67,31.26,112.41, 
183.65,257.21,13.53,37.13,1.64,31.25,112.57, 
167.77,243.94,15.11,34.37,1.59,31.24,112.72, 
159.72,237.19,14.92,32.72,1.57,31.23,112.88, 
155.82,236.51,12.21,31.95,1.6,31.22,113.04, 
151.5,235.52,10.6,31.09,1.61,31.21,113.2, 
146.42,233.88,9.96,29.95,1.62,31.2,113.36, 
140.97,231.89,10.51,29.19,1.63,31.19,113.52, 
137.58,230.69,11.15,28.52,1.65,31.18,113.68, 
137.23,233.31,11.65,28.52,1.68,31.17,113.83, 
138.12,234.99,12.28,27.66,1.7,31.16,113.99, 
140.71,236.28,13.51,25.57,1.72,31.15,114.15, 
147.03,241.48,13.86,24,1.75,31.13,114.31, 
148.75,226.55,12.98,23.97,1.76,31.12,114.47, 
146.84,208.07,10.82,27.64,1.73,31.11,114.63, 
139.1,187.86,8.87,30.11,1.67,31.1,114.78, 
125.41,164.91,7.88,27.44,1.55,31.08,114.94, 
121.63,150.45,8.14,22.2,1.47,31.07,115.1, 
115.01,137.51,8.28,17.8,1.33,31.06,115.26, 
109.42,130.75,8.16,16.72,1.24,31.05,115.42, 
104.88,127.31,8.23,15.97,1.13,31.03,115.57, 
105.81,129.11,8.31,16.93,1.11,31.02,115.73, 
103.04,127.12,8.73,18.02,1.07,31.01,115.89, 
105.23,127.62,8.84,20.17,1.07,30.99,116.05, 
110.43,136.22,8.58,22.71,1.11,30.98,116.21, 
116.98,150.44,8.08,24.85,1.17,30.96,116.36, 
122.42,163.94,7.49,25.93,1.2,30.95,116.52, 
123.56,172.7,7,27.54,1.23,30.93,116.68, 
126.11,180.08,6.68,29.4,1.25,30.92,116.84, 
131.04,188.63,6.28,30.82,1.3,30.9,116.99, 
139.15,198.4,5.95,33.18,1.37,30.89,117.15, 
144.83,203.91,6.09,36.38,1.45,30.87,117.31, 
153.51,208.95,6.54,38.98,1.52,30.86,117.47, 
166.16,221.26,7.01,42.69,1.64,30.84,117.62, 
177.08,234.43,8.05,48.17,1.8,30.82,117.78, 
171.82,221.13,9.1,52.46,1.78,30.81,117.94, 
162.47,203.77,8.62,52.66,1.67,30.79,118.1, 
149,184.06,8.82,50.67,1.58,30.77,118.25, 
125.23,155.99,8.73,45.57,1.4,30.76,118.41, 
101.21,127.76,8.46,38.81,1.16,30.74,118.57, 
94.3,119.93,8.48,38.25,1.11,30.72,118.72, 
89.17,117.8,8.37,40.57,1.11,30.7,118.88, 
77.34,108.81,8.57,41.62,1.03,30.69,119.04, 
68.41,102.35,8.36,39.8,0.93,30.67,119.19, 
66.3,103.86,8.32,40.76,0.91,30.65,119.35, 
66.65,111.71,8.57,43.91,0.98,30.63,119.51, 
68.82,122.61,8.83,46.82,1.06,30.61,119.66, 
69.91,130.21,9.14,51.84,1.09,30.59,119.82, 
77.84,144.95,9.56,66.94,1.13,30.58,119.98, 
91.54,175.2,11.29,82.36,1.27,30.56,120.13, 
89.39,157.89,9.93,83.73,1.08,30.54,120.29, 
83,143.27,9.47,80.18,0.94,30.52,120.45, 
67.2,113.63,9.08,68.42,0.77,30.5,120.6, 
58.58,97.94,8.36,56.93,0.68,30.48,120.76, 
54.78,91.02,9.58,52.38,0.64,30.46,120.91, 
12.94,19.3,4.29,7.62,0.23,30.29,122.16, 
11,15.41,2.46,1.71,0.21,30.27,122.32, 
1.1,1.25,0.15,0.31,0.12,29.65,83.03, 
1.07,1.21,0.14,0.3,0.12,29.68,83.18, 
0.99,1.12,0.13,0.29,0.12,29.71,83.33, 
0.92,1.05,0.12,0.28,0.12,29.73,83.49, 
0.85,1,0.11,0.3,0.12,29.76,83.64, 
0.81,1,0.1,0.32,0.12,29.79,83.79, 
0.78,0.97,0.1,0.33,0.12,29.82,83.95, 
0.76,0.94,0.09,0.26,0.12,29.84,84.1, 
0.73,0.9,0.09,0.21,0.12,29.87,84.26, 
0.71,0.87,0.08,0.19,0.12,29.89,84.41, 
0.73,0.88,0.09,0.19,0.12,29.92,84.56, 
0.67,0.85,0.08,0.17,0.12,29.95,84.72, 
0.53,1.33,0.07,0.16,0.12,29.97,84.87, 
0.5,0.8,0.06,0.15,0.12,30,85.03, 
0.47,0.73,0.06,0.16,0.12,30.02,85.18, 
0.45,0.69,0.06,0.19,0.12,30.05,85.33, 
0.44,0.67,0.06,0.2,0.12,30.07,85.49, 
0.43,0.65,0.06,0.2,0.12,30.1,85.64, 
0.43,0.65,0.06,0.19,0.12,30.12,85.8, 
0.42,0.64,0.05,0.17,0.12,30.15,85.95, 
0.41,0.62,0.05,0.16,0.12,30.17,86.11, 
0.38,0.59,0.05,0.15,0.12,30.19,86.26, 
0.3,1.66,0.04,0.14,0.12,30.22,86.42, 
0.3,1.3,0.04,0.14,0.12,30.24,86.57, 
0.3,0.97,0.04,0.13,0.12,30.27,86.73, 
0.29,0.8,0.04,0.13,0.12,30.29,86.88, 
0.29,0.7,0.04,0.13,0.12,30.31,87.04, 
0.29,0.59,0.04,0.14,0.12,30.33,87.19, 
0.28,0.48,0.03,0.13,0.12,30.36,87.35, 
0.26,0.42,0.04,0.13,0.12,30.38,87.5, 
0.25,0.39,0.03,0.12,0.12,30.4,87.66, 
0.25,0.36,0.03,0.12,0.12,30.42,87.81, 
0.24,0.34,0.03,0.12,0.12,30.45,87.97, 
0.24,0.33,0.03,0.12,0.12,30.47,88.13, 
0.23,0.31,0.03,0.12,0.12,30.49,88.28, 
0.24,0.31,0.03,0.13,0.12,30.51,88.44, 
0.23,0.32,0.03,0.13,0.12,30.53,88.59, 
0.24,0.32,0.03,0.13,0.12,30.55,88.75, 
0.25,0.33,0.03,0.14,0.12,30.57,88.91, 
0.25,0.33,0.03,0.14,0.12,30.59,89.06, 
0.25,0.32,0.03,0.14,0.12,30.61,89.22, 
0.25,0.31,0.03,0.13,0.12,30.63,89.37, 
0.25,0.31,0.03,0.13,0.12,30.65,89.53, 
0.24,0.37,0.03,0.13,0.12,30.67,89.69, 
0.25,0.37,0.03,0.13,0.12,30.69,89.84, 
0.24,0.43,0.03,0.13,0.12,30.71,90, 
0.24,0.4,0.03,0.13,0.12,30.73,90.16, 
0.23,0.85,0.03,0.13,0.12,30.75,90.31, 
0.22,1.32,0.03,0.13,0.12,30.77,90.47, 
0.26,0.73,0.03,0.17,0.12,30.79,90.63, 
0.28,0.41,0.03,0.22,0.12,30.8,90.78, 
0.29,0.35,0.03,0.27,0.12,30.82,90.94, 
0.29,0.34,0.03,0.27,0.12,30.84,91.1, 
0.28,0.34,0.03,0.25,0.12,30.86,91.26, 
0.29,0.35,0.03,0.23,0.12,30.87,91.41, 
0.3,0.36,0.03,0.29,0.12,30.89,91.57, 
0.3,0.38,0.03,0.29,0.12,30.91,91.73, 
0.31,0.4,0.03,0.26,0.12,30.93,91.88, 
0.31,0.42,0.03,0.24,0.12,30.94,92.04, 
0.32,0.42,0.03,0.23,0.12,30.96,92.2, 
0.32,0.42,0.03,0.24,0.12,30.97,92.36, 
0.33,0.41,0.03,0.29,0.12,30.99,92.51, 
0.33,0.41,0.03,0.32,0.12,31.01,92.67, 
0.34,0.41,0.03,0.33,0.12,31.02,92.83, 
0.35,0.41,0.03,0.31,0.12,31.04,92.99, 
0.35,0.41,0.03,0.29,0.12,31.05,93.15, 
0.34,0.4,0.03,0.28,0.12,31.07,93.3, 
0.35,0.4,0.03,0.28,0.12,31.08,93.46, 
0.37,0.43,0.03,0.26,0.12,31.1,93.62, 
0.39,0.43,0.03,0.26,0.12,31.11,93.78, 
0.44,0.49,0.03,0.28,0.12,31.13,93.94, 
0.56,0.61,0.04,0.31,0.12,31.14,94.09, 
0.8,0.85,0.04,0.33,0.12,31.15,94.25, 
0.97,1.03,0.05,0.35,0.12,31.17,94.41, 
1.05,1.12,0.05,0.34,0.12,31.18,94.57, 
1.21,1.28,0.05,0.31,0.12,31.19,94.73, 
1.37,1.44,0.05,0.29,0.12,31.21,94.88, 
1.51,1.58,0.06,0.3,0.12,31.22,95.04, 
1.57,1.64,0.06,0.3,0.12,31.23,95.2, 
1.67,1.75,0.06,0.3,0.12,31.25,95.36, 
1.73,1.81,0.06,0.31,0.12,31.26,95.52, 
1.78,1.86,0.06,0.34,0.12,31.27,95.68, 
1.79,1.88,0.07,0.38,0.12,31.28,95.84, 
1.79,1.89,0.07,0.41,0.12,31.29,95.99, 
1.88,2.01,0.07,0.44,0.12,31.3,96.15, 
1.99,2.21,0.07,0.54,0.12,31.32,96.31, 
2.16,2.72,0.08,0.97,0.14,31.33,96.47, 
2.9,4.87,0.09,3.06,0.19,31.34,96.63, 
4.17,8.79,0.1,6.46,0.28,31.35,96.79, 
6.3,14.85,0.1,11.16,0.4,31.36,96.95, 
10.94,25.86,0.1,14.65,0.56,31.37,97.11, 
9.18,22.05,0.11,16.72,0.52,31.38,97.26, 
6.98,16.2,0.1,13.13,0.43,31.39,97.42, 
4.57,9.43,0.1,6.78,0.29,31.4,97.58, 
3.06,4.88,0.09,2.66,0.19,31.41,97.74, 
2.43,2.92,0.09,0.96,0.13,31.42,97.9, 
2.31,2.54,0.09,0.73,0.12,31.43,98.06, 
2.25,2.39,0.08,0.59,0.11,31.43,98.22, 
2.21,2.32,0.08,0.52,0.11,31.44,98.38, 
2.06,2.17,0.08,0.7,0.11,31.45,98.54, 
1.87,1.97,0.1,1.02,0.12,31.46,98.7, 
1.81,1.93,0.12,1.2,0.12,31.47,98.86, 
1.8,1.92,0.14,1.29,0.12,31.48,99.01, 
1.86,1.98,0.14,1.08,0.12,31.48,99.17, 
1.9,2.02,0.15,0.77,0.11,31.49,99.33, 
2.03,2.17,0.18,0.79,0.11,31.5,99.49, 
2.18,2.32,0.2,0.87,0.12,31.5,99.65, 
2.25,2.39,0.2,0.99,0.12,31.51,99.81, 
2.26,2.41,0.2,1.14,0.12,31.52,99.97, 
2.25,2.4,0.21,1.26,0.12,31.52,100.13, 
2.23,2.39,0.21,1.37,0.12,31.53,100.29, 
2.2,2.45,0.23,1.89,0.13,31.54,100.45, 
2.27,2.63,0.28,2.89,0.15,31.54,100.61, 
2.73,3.26,0.33,3.92,0.17,31.55,100.77, 
3.86,4.65,0.46,5.07,0.22,31.55,100.93, 
4.97,6.02,0.59,5.19,0.22,31.56,101.09, 
6.46,7.97,0.81,5.86,0.24,31.56,101.25, 
8.25,10.35,1.09,6.18,0.25,31.57,101.41, 
10.21,12.91,1.36,6.43,0.26,31.57,101.57, 
8.66,10.72,1.31,5.2,0.23,31.58,101.73, 
7.21,8.65,1.06,4.85,0.22,31.58,101.89, 
5.13,6.07,1.03,3.58,0.17,31.58,102.04, 
6.42,7.78,1.23,3.19,0.17,31.59,102.2, 
7.1,8.62,1.05,2.41,0.16,31.59,102.36, 
7.84,9.58,0.75,1.76,0.15,31.59,102.52, 
7.77,9.62,0.71,1.66,0.15,31.6,102.68, 
7.12,8.91,0.63,1.59,0.15,31.6,102.84, 
7.93,10.12,0.84,1.79,0.16,31.6,103, 
10.66,13.92,1.34,2.23,0.18,31.61,103.16, 
19.57,26.3,2.83,3.61,0.25,31.61,103.32, 
22.48,30.24,3.36,4.29,0.27,31.61,103.48, 
28.04,38.47,4.3,6.64,0.33,31.61,103.64, 
37.94,51.44,5.75,10.63,0.43,31.61,103.8, 
47.79,63.62,7.21,16.65,0.53,31.61,103.96, 
50.55,63.55,8.45,16.52,0.54,31.62,104.12, 
61.18,78.58,8.7,17.22,0.65,31.62,104.28, 
63.44,81.17,8.62,18.12,0.7,31.62,104.44, 
68.2,88.5,9.07,21.54,0.79,31.62,104.6, 
66.18,88.15,9.73,23.02,0.84,31.62,104.76, 
62.15,85.42,10.08,20.25,0.87,31.62,104.92, 
57.74,81.1,10.76,18.23,0.87,31.62,105.08, 
55.22,79.39,11.71,18.73,0.89,31.62,105.24, 
54.02,80.66,12.56,20.97,0.94,31.62,105.4, 
53.5,83.7,13.15,23.82,1.01,31.62,105.56, 
54.39,89.28,12.98,27.29,1.11,31.62,105.72, 
54.65,92.11,12.72,27.83,1.14,31.62,105.88, 
52.33,88.26,12.25,24.63,1.11,31.61,106.04, 
51.63,86.46,11.7,23.56,1.11,31.61,106.2, 
52.59,85.34,11.17,23.32,1.11,31.61,106.36, 
54.95,85.33,10.77,23.43,1.09,31.61,106.52, 
57.02,84.97,10.2,24.36,1.08,31.61,106.68, 
57.29,82.87,9.65,25.09,1.06,31.61,106.84, 
57.44,80.71,9.92,26.2,1.04,31.6,107, 
57.28,77.99,10.85,26.1,1,31.6,107.16, 
58.02,77.1,12.23,24.75,0.97,31.6,107.32, 
60.09,77.42,13.64,22.96,0.95,31.59,107.48, 
63.09,79.18,15.76,20.67,0.9,31.59,107.64, 
65.4,82.52,17.46,19.31,0.82,31.59,107.8, 
67.21,86.46,18.11,17.49,0.78,31.58,107.96, 
69.74,90.35,17.92,16.06,0.76,31.58,108.11, 
69.75,90.27,17.53,14.28,0.74,31.58,108.27, 
70.44,90.12,18.09,11.48,0.72,31.57,108.43, 
70.19,89.09,18.91,9.37,0.71,31.57,108.59, 
68.98,87.4,20.18,8.93,0.7,31.56,108.75, 
68.34,87.05,21.67,8.84,0.7,31.56,108.91, 
70.33,90.94,24.01,9.3,0.71,31.55,109.07, 
71.88,95.64,27.12,10.43,0.75,31.55,109.23, 
68.77,96.07,27.38,10.89,0.77,31.54,109.39, 
71.36,99.83,27.38,11.57,0.78,31.54,109.55, 
77.1,104.45,25.44,11.33,0.77,31.53,109.71, 
86.91,113.76,22.05,11.34,0.76,31.52,109.87, 
87.1,113.75,20.7,10.12,0.74,31.52,110.03, 
87.56,112.45,19.85,8.92,0.71,31.51,110.19, 
96.25,121.94,18.68,10.35,0.74,31.5,110.35, 
99.76,127.71,18.11,12.22,0.79,31.5,110.51, 
96.71,126.98,17.34,13.95,0.82,31.49,110.67, 
93.49,126.38,16.1,15.19,0.84,31.48,110.83, 
96.74,131.15,15.04,16.8,0.88,31.48,110.99, 
98.12,133.11,14.47,17.42,0.89,31.47,111.14, 
100.71,135.99,14.13,17.96,0.9,31.46,111.3, 
106.54,142.63,13.76,19.73,0.94,31.45,111.46, 
119.22,158.81,14.11,24.56,1.05,31.44,111.62, 
146.38,191.77,14.07,32.57,1.25,31.43,111.78, 
175.99,226.03,13.96,39.82,1.46,31.43,111.94, 
199.7,252.67,13.3,44.23,1.61,31.42,112.1, 
201.79,257.09,13.17,42.69,1.65,31.41,112.26, 
194.19,255.73,12.61,39.9,1.65,31.4,112.42, 
178.6,246.3,14.16,36.29,1.6,31.39,112.58, 
166.4,238.08,14.9,34.42,1.57,31.38,112.74, 
160.04,235.2,14.59,33.35,1.58,31.37,112.89, 
154.66,233.44,12.36,32.14,1.59,31.36,113.05, 
148.03,230.09,10.35,31.6,1.6,31.35,113.21, 
143.54,230.65,9.37,30.51,1.61,31.34,113.37, 
139.23,231.18,10.05,29.81,1.62,31.33,113.53, 
136.46,232.97,10.96,29.28,1.64,31.32,113.69, 
137.57,239.33,11.46,29.6,1.67,31.3,113.85, 
140.74,246.45,11.88,29.62,1.7,31.29,114.01, 
143.81,249.69,13.76,27.92,1.72,31.28,114.16, 
148.93,254.94,14.19,26,1.76,31.27,114.32, 
149.66,242.87,14.28,25.16,1.8,31.26,114.48, 
144.73,219.77,12.26,25.35,1.74,31.25,114.64, 
139.09,202.63,10.18,28.32,1.68,31.23,114.8, 
127.05,183.43,8.23,26.19,1.58,31.22,114.96, 
118.96,164.72,8.22,22.16,1.52,31.21,115.12, 
108.55,146.43,7.94,16.73,1.36,31.19,115.27, 
102.73,137.49,7.62,14.79,1.27,31.18,115.43, 
97.51,131.27,7.94,14.23,1.14,31.17,115.59, 
98.2,132.74,8.35,15.62,1.11,31.15,115.75, 
97.34,132.12,8.85,17.69,1.08,31.14,115.91, 
100.62,134.99,8.8,20.34,1.1,31.13,116.06, 
109.02,147.4,8.49,22.88,1.15,31.11,116.22, 
117.03,162.27,7.95,24.42,1.19,31.1,116.38, 
122.53,172.12,7.37,25.53,1.2,31.08,116.54, 
124.77,177.86,6.92,27.66,1.21,31.07,116.7, 
128.45,186.27,6.56,30.06,1.24,31.05,116.85, 
129.12,192.51,6.07,31.93,1.29,31.04,117.01, 
135.71,199.49,5.76,34.58,1.36,31.02,117.17, 
146.3,206.96,5.79,37.88,1.45,31.01,117.33, 
155.22,213.26,6.32,40.4,1.52,30.99,117.49, 
164.14,220.96,6.77,43.68,1.63,30.97,117.64, 
175.34,232.58,7.62,49.4,1.79,30.96,117.8, 
178.18,230.52,8.52,53.2,1.86,30.94,117.96, 
170.23,211.69,8.71,55.27,1.76,30.93,118.12, 
168.57,206.52,8.93,57,1.79,30.91,118.27, 
149.23,181.15,9.08,54.61,1.64,30.89,118.43, 
133.44,164.05,8.64,50.29,1.49,30.87,118.59, 
121.3,151.39,8.73,50.8,1.39,30.86,118.74, 
109.96,141.22,8.78,50.56,1.32,30.84,118.9, 
90.97,125.02,8.8,47.15,1.16,30.82,119.06, 
79.47,115.71,8.53,44.65,1.05,30.8,119.22, 
74.33,114.63,8.46,44.88,1.01,30.79,119.37, 
73.27,121.24,8.69,46.76,1.05,30.77,119.53, 
73.46,127.78,8.86,52.32,1.08,30.75,119.69, 
72.87,130.76,9.06,57.95,1.07,30.73,119.84, 
77.49,139.7,9.28,69.55,1.08,30.71,120, 
83.92,152.63,9.86,79.74,1.11,30.69,120.16, 
83.71,146.42,9.37,82.84,1,30.67,120.31, 
78.04,135.97,9.27,83.61,0.9,30.65,120.47, 
63.1,111.63,8.71,78.38,0.77,30.63,120.63, 
55.85,97.21,7.5,66.03,0.67,30.61,120.78, 
50.89,88.55,8.09,61.52,0.6,30.59,120.94, 
1.02,1.15,0.15,0.33,0.12,29.76,82.84, 
0.99,1.11,0.14,0.31,0.12,29.78,83, 
0.9,1.02,0.12,0.29,0.12,29.81,83.15, 
0.8,0.9,0.11,0.28,0.12,29.84,83.3, 
0.72,0.84,0.1,0.27,0.12,29.87,83.46, 
0.67,0.82,0.09,0.29,0.12,29.89,83.61, 
0.65,0.85,0.08,0.27,0.12,29.92,83.76, 
0.63,0.82,0.08,0.26,0.12,29.95,83.92, 
0.6,0.78,0.08,0.21,0.12,29.98,84.07, 
0.58,0.76,0.07,0.19,0.12,30,84.23, 
0.59,0.75,0.07,0.18,0.12,30.03,84.38, 
0.61,0.77,0.07,0.17,0.12,30.05,84.53, 
